SMILES,CID,canonical_CID,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_avg_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,NMR_std_ratio,acrylamide,chloroacetamide,series,frag_id
CCNC(=O)CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O,LUO-POS-e1dab717-11,LUO-POS-e1dab717-11,,,,,,0.275118241099123,,,,,,False,False,3-aminopyridine-like,
O=C(CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O)NCC1CC1,LUO-POS-e1dab717-12,LUO-POS-e1dab717-12,,,,,,0.202766791018038,,,,,,False,False,3-aminopyridine-like,
CNC(=O)C1(N2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,MAT-POS-e48723dc-1,MAT-POS-e48723dc-1,,,,,,55.4539472183434,,,,,,False,False,Ugi,
CNC(=O)C1(N2C[C@@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,MAT-POS-e48723dc-2,MAT-POS-e48723dc-2,,,,,,0.0500000007450581,,,,,,False,False,Ugi,
CNC(=O)CN1C[C@@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,LUO-POS-9931618f-2,LUO-POS-9931618f-2,,,,,,0.0527566448489595,,,,,,False,False,Ugi,
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccc(OC)cc34)C2=O)C1,EDJ-MED-b6c6ee2b-2,EDJ-MED-b6c6ee2b-2,,,,,,0.153279934357818,,,,,,False,False,3-aminopyridine-like,
COc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,EDJ-MED-b6c6ee2b-3,EDJ-MED-b6c6ee2b-3,,,,,,0.214885085602627,,,,,,False,False,3-aminopyridine-like,
O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)F)CC1)Cc1ccc(Cl)cc12,EDJ-MED-5cd3920d-5,EDJ-MED-5cd3920d-5,,,,,,0.15535120394062,,,,,,False,False,3-aminopyridine-like,
O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)(F)F)CC1)Cc1ccc(Cl)cc12,EDJ-MED-5cd3920d-6,EDJ-MED-5cd3920d-6,,,,,,0.15665931676081,,,,,,False,False,,
CC1CN(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12,MAT-POS-50a80394-1,MAT-POS-50a80394-1,,,,,,0.106542506041203,,,,,,False,False,3-aminopyridine-like,
CCC1CN(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12,MAT-POS-50a80394-2,MAT-POS-50a80394-2,,,,,,0.0744085085108016,,,,,,False,False,3-aminopyridine-like,
CCn1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,MAT-POS-be048f2c-5,MAT-POS-be048f2c-5,,,,,,0.297012069374338,,,,,,False,False,3-aminopyridine-like,
CC(C)n1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,MAT-POS-be048f2c-6,MAT-POS-be048f2c-6,,,,,,0.267639768802499,,,,,,False,False,3-aminopyridine-like,
