iteration,total_molecules,top_molecules_found,best_score,time_per_iteration,experiment_id,n_initial_samples,n_iterations,budget_per_iteration,initial_selection_method,acquisition_function,total_runtime
1,120,0,-18.656864,2.8221840858459473,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
2,140,2,-19.66399,3.9289183616638184,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
3,160,3,-19.66399,2.7697834968566895,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
4,180,3,-19.66399,3.14874529838562,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
5,200,3,-19.66399,2.8162496089935303,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
6,220,4,-20.026234,2.856783628463745,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
7,240,4,-20.026234,2.774204730987549,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
8,260,4,-20.026234,2.880682945251465,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
9,280,4,-20.026234,2.777886152267456,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
10,300,5,-20.026234,2.7674849033355713,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
11,320,6,-20.026234,2.826155662536621,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
12,340,6,-20.026234,2.9765632152557373,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
13,360,6,-20.026234,2.760138988494873,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
14,380,6,-20.026234,2.761127471923828,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
15,400,6,-20.026234,2.7559335231781006,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
16,420,7,-20.026234,2.718700647354126,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
17,440,8,-20.026234,2.771113395690918,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
18,460,9,-20.026234,2.7826099395751953,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
19,480,10,-20.596266,2.6502630710601807,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
20,500,10,-20.596266,3.1028387546539307,init100_ran_acqgre_bud20_iter20_0323_1642,100,20,20,random,greedy,208.2878270149231
1,520,2,-20.026234,2.7443645000457764,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
2,540,2,-20.026234,2.771898031234741,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
3,560,2,-20.026234,2.745819091796875,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
4,580,3,-20.026234,2.659167528152466,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
5,600,3,-20.026234,2.8825843334198,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
6,620,4,-20.026234,2.882711410522461,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
7,640,4,-20.026234,2.8620479106903076,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
8,660,4,-20.026234,2.7890660762786865,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
9,680,4,-20.026234,2.8051772117614746,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
10,700,4,-20.026234,2.7977073192596436,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
11,720,4,-20.026234,2.8287665843963623,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
12,740,5,-20.026234,2.8540735244750977,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
13,760,5,-20.026234,2.77270245552063,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
14,780,6,-20.026234,2.8157541751861572,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
15,800,7,-20.026234,2.7740254402160645,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
16,820,7,-20.026234,2.7641899585723877,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
17,840,7,-20.026234,2.9695687294006348,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
18,860,7,-20.026234,2.826387643814087,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
19,880,7,-20.026234,2.935256242752075,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
20,900,7,-20.026234,2.8955156803131104,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
1,1020,1,-19.565813,2.979976177215576,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
2,1040,1,-19.565813,2.9066295623779297,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
3,1060,2,-19.620817,2.728334903717041,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
4,1080,2,-19.620817,2.7222447395324707,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
5,1100,3,-19.620817,2.758699893951416,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
6,1120,3,-19.620817,2.764697313308716,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
7,1140,4,-20.349735,2.9110829830169678,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
8,1160,6,-20.349735,2.742583990097046,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
9,1180,8,-20.349735,2.8430166244506836,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
10,1200,10,-20.349735,2.858937978744507,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
11,1220,11,-20.349735,2.982536554336548,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
12,1240,12,-20.349735,3.2215464115142822,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
13,1260,14,-20.425659,3.3596079349517822,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
14,1280,15,-20.425659,3.463247537612915,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
15,1300,15,-20.425659,3.406602382659912,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
16,1320,16,-20.425659,2.9584672451019287,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
17,1340,16,-20.425659,2.789043426513672,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
18,1360,18,-20.425659,2.7952957153320312,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
19,1380,21,-20.572157,2.9391579627990723,init1000_ran_acqgre_bud20_iter20_0323_1738,1000,20,20,random,greedy,281.9747815132141
