"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1411731";"TALAMPICILLIN HYDROCHLORIDE";"ASEOCILLIN|BRL 8988 HYDROCHLORIDE|TALAMPICILLIN HYDROCHLORIDE|TALPEN";"Small molecule";"4.0";"517.99";"8";"10";"1.65";"128.03";"8";"2";"0";"5";"N";"0.49";"11.52";"7.23";"2.09";"1.86";"2";"MOL";"0";"34";"9";"3";"0";"481.1308";"0.70";"NEUTRAL";"C24H24ClN3O6S";"CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc21.Cl";"PAZSYTCTHYSIAO-WVFSJLEKSA-N"
"CHEMBL2364720";"PHENETHICILLIN POTASSIUM";"ASTRACILLIN|BROXIL|Chemipen|DRAMCILLIN S|MAXIPEN|ORALOPEN|PENICILLIN-152 POTASSIUM|PHENETHICILLIN K SALT|PHENETHICILLIN POTASSIUM|PHENETICILLIN POTASSIUM|POTASSIUM PHENETHICILLIN|Syncillin";"Small molecule";"4.0";"402.51";"3";"3";"1.09";"95.94";"5";"2";"0";"5";"N";"0.76";"3.47";"None";"1.33";"-2.05";"1";"MOL";"0";"25";"7";"2";"0";"364.1093";"0.11";"ACID";"C17H19KN2O5S";"CC(Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].[K+]";"ORMNNUPLFAPCFD-DVLYDCSHSA-M"
"CHEMBL2105950";"AMOXICILLIN SODIUM";"AMOXICILLIN SODIUM|AMOXICILLIN SODIUM SALT|AMOXYCILLIN (AS SODIUM)|BRL-2333AB-B|SODIUM AMOXICILLIN";"Small molecule";"4.0";"387.39";"1";"1";"0.02";"132.96";"6";"4";"0";"4";"N";"0.55";"3.23";"7.22";"-2.31";"-2.67";"1";"MOL";"0";"25";"8";"5";"0";"365.1045";"0.94";"ACID";"C16H18N3NaO5S";"CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)[O-].[Na+]";"BYHDFCISJXIVBV-YWUHCJSESA-M"
"CHEMBL2105996";"CARBENICILLIN PHENYL SODIUM";"BRL-3475|CARBENICILLIN PHENYL SODIUM|CARFECILLIN SODIUM|UTICILLIN";"Small molecule";"4.0";"476.49";"";"";"2.01";"113.01";"6";"2";"0";"6";"N";"0.30";"3.29";"None";"2.62";"-0.81";"2";"MOL";"0";"32";"8";"2";"0";"454.1199";"0.32";"ACID";"C23H21N2NaO6S";"CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccccc3)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+]";"JXSBZDNBNJTHBJ-JPZUGYNPSA-M"
"CHEMBL1200965";"BACAMPICILLIN HYDROCHLORIDE";"AMBAXIN|BACAMPICILLIN HCL|BACAMPICILLIN HYDROCHLORIDE|BECAMPICILLIN HYDROCHLORIDE|NSC-758228|Spectrobid";"Small molecule";"4.0";"501.99";"7";"16";"1.30";"137.26";"9";"2";"0";"7";"N";"0.35";"11.72";"7.23";"1.47";"1.25";"1";"MOL";"0";"32";"10";"3";"0";"465.1570";"0.47";"NEUTRAL";"C21H28ClN3O7S";"CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C.Cl";"IWVTXAGTHUECPN-ANBBSHPLSA-N"
"CHEMBL1200991";"CARBENICILLIN INDANYL SODIUM";"CARBENICILLIN INDANYL SODIUM|CARINDACILLIN SODIUM|CARINDACILLIN SODIUM SALT|CP-15,464-2|CP-15464-2|Geocillin";"Small molecule";"4.0";"516.55";"1";"14";"2.50";"113.01";"6";"2";"0";"6";"N";"0.27";"3.29";"None";"3.63";"0.20";"2";"MOL";"0";"35";"8";"2";"0";"494.1512";"0.25";"ACID";"C26H25N2NaO6S";"CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+]";"QFWPXOXWAUAYAB-XZVIDJSISA-M"
"CHEMBL1619785";"TALAMPICILLIN";"BRL 8988|BRL-8988|TALAMPICILLIN";"Small molecule";"4.0";"481.53";"2";"4";"1.65";"128.03";"8";"2";"0";"5";"N";"0.49";"11.52";"7.23";"2.09";"1.86";"2";"MOL";"0";"34";"9";"3";"0";"481.1308";"0.70";"NEUTRAL";"C24H23N3O6S";"CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc21";"SOROUYSPFADXSN-SUWVAFIASA-N"
"CHEMBL2106988";"PENAMECILLIN";"HAVAPEN|PENAMECILLIN|WY-20,788|WY-20788";"Small molecule";"4.0";"406.46";"";"";"0.84";"102.01";"7";"1";"0";"6";"N";"0.42";"11.85";"None";"1.09";"1.09";"1";"MOL";"0";"28";"8";"1";"0";"406.1199";"0.47";"NEUTRAL";"C19H22N2O6S";"CC(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2SC1(C)C";"NLOOMWLTUVBWAW-HLLBOEOZSA-N"
"CHEMBL819";"OXACILLIN";"OXACILLIN|OXAZOCILLINE|Oxacillin|Prostaphlin";"Small molecule";"4.0";"401.44";"87";"1887";"1.90";"112.74";"6";"2";"0";"4";"N";"0.75";"3.75";"None";"1.70";"-1.59";"2";"MOL";"0";"28";"8";"2";"0";"401.1045";"-0.16";"ACID";"C19H19N3O5S";"Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O";"UWYHMGVUTGAWSP-JKIFEVAISA-N"
"CHEMBL1583";"BACAMPICILLIN";"BACAMPICILLIN|Bacampicillin|PENGLOBE";"Small molecule";"4.0";"465.53";"6";"42";"1.30";"137.26";"9";"2";"0";"7";"N";"0.35";"11.72";"7.23";"1.47";"1.25";"1";"MOL";"0";"32";"10";"3";"0";"465.1570";"0.47";"NEUTRAL";"C21H27N3O7S";"CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C";"PFOLLRNADZZWEX-FFGRCDKISA-N"
