"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2104771";"REPROTEROL HYDROCHLORIDE";"ASMATEROLO|BRONCHODIL|BRONCHOSPASMIN|D-1959.HCL|REPROTEROL HYDROCHLORIDE|W-2946M";"Small molecule";"4.0";"425.87";"";"";"-0.44";"134.54";"10";"4";"0";"7";"N";"0.40";"8.84";"9.66";"-1.19";"-2.34";"3";"MOL";"0";"28";"10";"4";"0";"389.1699";"-0.60";"BASE";"C18H24ClN5O5";"Cl.Cn1c(=O)c2c(ncn2CCCNCC(O)c2cc(O)cc(O)c2)n(C)c1=O";"XSFWDHONRBZVEJ-UHFFFAOYSA-N"
"CHEMBL605846";"OLODATEROL";"BI 1744|OLODATEROL|STRIVERDI RESPIMAT";"Small molecule";"4.0";"386.45";"10";"23";"2.38";"100.05";"6";"4";"0";"7";"N";"0.58";"9.22";"9.84";"1.19";"-0.18";"2";"MOL";"0";"28";"7";"4";"0";"386.1842";"0.15";"BASE";"C21H26N2O5";"COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1";"COUYJEVMBVSIHV-SFHVURJKSA-N"
"CHEMBL2000813";"RIMITEROL HYDROBROMIDE";"NSC-289336|PULMADIL|PULMADIL-AUTO|R 798|R-798|RIMITEROL HBR|RIMITEROL HYDROBROMIDE|WG-253";"Small molecule";"4.0";"304.18";"56";"56";"1.27";"72.72";"4";"4";"0";"2";"N";"0.57";"9.74";"8.93";"0.44";"-0.78";"1";"MOL";"0";"16";"4";"4";"0";"223.1208";"1.34";"BASE";"C12H18BrNO3";"Br.Oc1ccc(C(O)C2CCCCN2)cc1O";"QPYZEEKXUYXZBK-UHFFFAOYSA-N"
"CHEMBL1330729";"CLENBUTEROL HYDROCHLORIDE";"CLENBUTEROL HCL|CLENBUTEROL HYDROCHLORIDE|NAB 365 CL|NAB-365|NAB-365CL|VENTIPULMIN";"Small molecule";"4.0";"313.66";"17";"27";"3.00";"58.28";"3";"3";"0";"3";"Y";"0.74";"None";"9.63";"2.33";"0.14";"1";"MOL";"0";"17";"3";"4";"0";"276.0796";"-0.32";"BASE";"C12H19Cl3N2O";"CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1.Cl";"OPXKTCUYRHXSBK-UHFFFAOYSA-N"
"CHEMBL1159717";"TULOBUTEROL";"ATENOS|BERACHIN|BRELOMAX|BREMAX|CHLIBAMOL|HOKUNALIN|LOBUTEROL|NSC-758643|RESPACAL|TULOBUTEROL|TULOBUTEROL HCL|TULOBUTEROL HYDROCHLORIDE";"Small molecule";"4.0";"227.74";"12";"27";"2.76";"32.26";"2";"2";"0";"3";"Y";"0.83";"13.90";"9.55";"2.56";"0.44";"1";"MOL";"0";"15";"2";"2";"0";"227.1077";"-0.66";"BASE";"C12H18ClNO";"CC(C)(C)NCC(O)c1ccccc1Cl";"YREYLAVBNPACJM-UHFFFAOYSA-N"
"CHEMBL1329567";"XAMOTEROL FUMARATE";"CORWIN|ICI 118,587|ICI-118,587 HEMIFUMARATE|ICI-118587 HEMIFUMARATE|XAMOTEROL FUMARATE|XAMOTEROL HEMIFUMARATE";"Small molecule";"4.0";"794.86";"33";"986";"-0.24";"103.29";"6";"4";"0";"8";"N";"0.49";"9.95";"8.76";"-0.82";"-1.97";"1";"MOL";"0";"24";"8";"4";"0";"339.1794";"-1.10";"BASE";"C36H54N6O14";"O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1.O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1.O=C(O)/C=C/C(=O)O";"QEDVGROSOZBGOZ-WXXKFALUSA-N"
"CHEMBL2105743";"OLODATEROL HYDROCHLORIDE";"BI 1744 CL|BI-1744 CL|BI-1744-CL|OLODATEROL HYDROCHLORIDE|STRIVERDI RESPIMAT";"Small molecule";"4.0";"422.91";"3";"8";"2.38";"100.05";"6";"4";"0";"7";"N";"0.58";"9.22";"9.84";"1.19";"-0.18";"2";"MOL";"0";"28";"7";"4";"0";"386.1842";"0.15";"BASE";"C21H27ClN2O5";"COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1.Cl";"KCEHVJZZIGJAAW-FERBBOLQSA-N"
"CHEMBL49080";"CLENBUTEROL";"CLENBUTEROL|CLENBUTEROL HYDROCHLORIDE|CONTRASPASMIN|NAB 365|NSC-758633|PLANIPART|SPIROPENT|SPIROPENT MITE";"Small molecule";"4.0";"277.19";"135";"324";"3.00";"58.28";"3";"3";"0";"3";"Y";"0.74";"None";"9.63";"2.33";"0.14";"1";"MOL";"0";"17";"3";"4";"0";"276.0796";"-0.32";"BASE";"C12H18Cl2N2O";"CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1";"STJMRWALKKWQGH-UHFFFAOYSA-N"
"CHEMBL1200405";"BITOLTEROL MESYLATE";"BITOLTEROL MESILATE|BITOLTEROL MESYLATE|BITOLTEROL METHANESULFONATE|TORNALATE|Tomalate|WIN 32,784|WIN-32784";"Small molecule";"4.0";"557.67";"";"";"5.16";"84.86";"6";"2";"1";"7";"N";"0.37";"14.00";"9.59";"6.30";"4.15";"3";"MOL";"0";"34";"6";"2";"1";"461.2202";"-0.19";"BASE";"C29H35NO8S";"CS(=O)(=O)O.Cc1ccc(C(=O)Oc2ccc(C(O)CNC(C)(C)C)cc2OC(=O)c2ccc(C)cc2)cc1";"HODFCFXCOMKRCG-UHFFFAOYSA-N"
"CHEMBL88055";"RIMITEROL";"RIMITEROL";"Small molecule";"4.0";"223.27";"4";"8";"1.27";"72.72";"4";"4";"0";"2";"N";"0.57";"9.74";"8.93";"0.44";"-0.78";"1";"MOL";"0";"16";"4";"4";"0";"223.1208";"1.34";"BASE";"C12H17NO3";"Oc1ccc(C(O)C2CCCCN2)cc1O";"IYMMESGOJVNCKV-UHFFFAOYSA-N"
"CHEMBL32800";"FENOTEROL";"AIRUM|BERODUAL|BERODUAL N|BEROTEC|BEROTEC 100|BEROTEC 200|Berotec [as hydrobromide]|DOSBEROTEC|DUOVENT|FENOTEROL|FENOTEROL HBR|FENOTEROL HYDROBROMIDE|NSC-757811|PARTUSISTEN|TH 1165A|TH 1165A FREE BASE|TH 1165A [AS HYDROBROMIDE SALT]|TH-1165|TH-1165A|TH-1165A FREE BASE";"Small molecule";"4.0";"303.36";"41";"95";"2.06";"92.95";"5";"5";"0";"6";"N";"0.56";"8.85";"9.63";"1.47";"0.33";"2";"MOL";"0";"22";"5";"5";"0";"303.1471";"0.43";"BASE";"C17H21NO4";"CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1";"LSLYOANBFKQKPT-UHFFFAOYSA-N"
"CHEMBL75753";"XAMOTEROL";"ICI-118,587|ICI-118587|XAMOTEROL";"Small molecule";"4.0";"339.39";"19";"52";"-0.24";"103.29";"6";"4";"0";"8";"N";"0.49";"9.95";"8.76";"-0.82";"-1.97";"1";"MOL";"0";"24";"8";"4";"0";"339.1794";"-1.10";"BASE";"C16H25N3O5";"O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1";"DXPOSRCHIDYWHW-UHFFFAOYSA-N"
"CHEMBL1201295";"BITOLTEROL";"BITOLTEROL|Bitolterol";"Small molecule";"4.0";"461.56";"5";"37";"5.16";"84.86";"6";"2";"1";"7";"N";"0.37";"14.00";"9.59";"6.30";"4.15";"3";"MOL";"0";"34";"6";"2";"1";"461.2202";"-0.19";"BASE";"C28H31NO5";"Cc1ccc(C(=O)Oc2ccc(C(O)CNC(C)(C)C)cc2OC(=O)c2ccc(C)cc2)cc1";"FZGVEKPRDOIXJY-UHFFFAOYSA-N"
"CHEMBL1789842";"INDACATEROL MALEATE";"ARCAPTA NEOHALER|INDACATEROL (AS MALEATE)|INDACATEROL MALEATE|INDACTEROL MALEATE|ONBREZ BREEZHALER|QAB-149-AFA|QAB149-AFA";"Small molecule";"4.0";"508.57";"4";"11";"3.15";"85.35";"4";"4";"0";"6";"N";"0.52";"8.51";"9.71";"3.26";"2.32";"3";"MOL";"0";"29";"5";"4";"0";"392.2100";"0.35";"BASE";"C28H32N2O7";"CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2.O=C(O)/C=C\C(=O)O";"IREJFXIHXRZFER-PCBAQXHCSA-N"
"CHEMBL1095777";"INDACATEROL";"INDACATEROL|INDACTEROL|ONBREZ|QAB-149|QAB149|QABI49";"Small molecule";"4.0";"392.50";"45";"1213";"3.15";"85.35";"4";"4";"0";"6";"N";"0.52";"8.51";"9.71";"3.26";"2.32";"3";"MOL";"0";"29";"5";"4";"0";"392.2100";"0.35";"BASE";"C24H28N2O3";"CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2";"QZZUEBNBZAPZLX-QFIPXVFZSA-N"
"CHEMBL714";"ALBUTEROL";"AEROLIN|AEROLIN 400|AEROLIN AUTO|AIROMIR|AIRSALB|ALBUTEROL|ASMASAL CLICKHALER|ASMASAL SPACEHALER|ASMAVEN|ASMAVENT|Accuneb|COBUTOLIN|COMBIVENT|COMBIVENT UDVS|Combivent|Duoneb|ETINOLINE|IPRAMOL STERI-NEB|KENTAMOL|LIBETIST|MAXIVENT|NSC-757417|PROVENTIL-HFA|Proair HFA|Proventil|Proventil HFA|RIMASAL|SALAMOL E-BREATHE|SALAPIN|SALBULIN NOVOLIZER|SALBUTAMOL|SALBUTAMOLUM|SALBUVENT|SALIPRANEB|SCH 13949W|SCH-13949W|STERI-NEB SALAMOL|VENTMAX SR|VENTODISKS|VENTOLIN CR|VENTOLIN E-BREATHE|VENTOLINE|VOLMAX|Ventolin|Ventolin HFA|Volmax";"Small molecule";"4.0";"239.31";"164";"534";"1.31";"72.72";"4";"4";"0";"4";"N";"0.64";"10.12";"9.40";"0.34";"-1.32";"1";"MOL";"0";"17";"4";"4";"0";"239.1521";"0.56";"BASE";"C13H21NO3";"CC(C)(C)NCC(O)c1ccc(O)c(CO)c1";"NDAUXUAQIAJITI-UHFFFAOYSA-N"
"CHEMBL1095607";"REPROTEROL";"D-1959|REPROTEROL";"Small molecule";"4.0";"389.41";"2";"2";"-0.44";"134.54";"10";"4";"0";"7";"N";"0.40";"8.84";"9.66";"-1.19";"-2.34";"3";"MOL";"0";"28";"10";"4";"0";"389.1699";"-0.60";"BASE";"C18H23N5O5";"Cn1c(=O)c2c(ncn2CCCNCC(O)c2cc(O)cc(O)c2)n(C)c1=O";"WVLAAKXASPCBGT-UHFFFAOYSA-N"
"CHEMBL1201061";"LEVALBUTEROL HYDROCHLORIDE";"ALBUTEROL (R)-FORM HYDROCHLORIDE|ALBUTEROL HYDROCHLORIDE, R-|LEVALBUTEROL HCL|LEVALBUTEROL HYDROCHLORIDE|LEVOSALBUTAMOL HYDROCHLORIDE|NSC-759255|Xopenex";"Small molecule";"4.0";"275.78";"4";"8";"1.31";"72.72";"4";"4";"0";"4";"N";"0.64";"10.12";"9.40";"0.34";"-1.32";"1";"MOL";"0";"17";"4";"4";"0";"239.1521";"0.56";"BASE";"C13H22ClNO3";"CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1.Cl";"OWNWYCOLFIFTLK-YDALLXLXSA-N"
