"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1201127";"DARUNAVIR ETHANOLATE";"DARUNAVIR (AS ETHANOLATE)|DARUNAVIR ETHANOLATE|DARUNAVIR MONOETHANOLATE|Darunavir Ethanolate|Darunavir ethanolate|PREZISTA|REZOLSTA|TMC114 ETHANOLATE";"Small molecule";"4.0";"593.74";"2";"7";"2.38";"140.42";"8";"3";"1";"11";"N";"0.36";"13.59";"2.39";"2.82";"2.82";"2";"MOL";"0";"38";"10";"4";"1";"547.2352";"0.12";"NEUTRAL";"C29H43N3O8S";"CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1.CCO";"QWSHKNICRJHQCY-VBTXLZOXSA-N"
"CHEMBL3137312";"DASABUVIR";"ABT-333|DASABUVIR|DASABUVIR SODIUM MONOHYDRATE|EXVIERA";"Small molecule";"4.0";"493.59";"8";"18";"4.02";"110.26";"6";"2";"0";"5";"N";"0.44";"9.09";"None";"3.42";"3.42";"4";"MOL";"0";"35";"8";"2";"0";"493.1671";"-0.68";"NEUTRAL";"C26H27N3O5S";"COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C";"NBRBXGKOEOGLOI-UHFFFAOYSA-N"
"CHEMBL3989867";"BICTEGRAVIR SODIUM";"BICTEGRAVIR SODIUM|GS-9883|GS-9883-01";"Small molecule";"4.0";"471.37";"";"";"1.63";"100.87";"6";"2";"0";"3";"N";"0.74";"9.81";"None";"1.36";"1.35";"2";"MOL";"0";"32";"8";"2";"0";"449.1199";"-0.38";"NEUTRAL";"C21H17F3N3NaO5";"O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c([O-])c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2.[Na+]";"WJNFBIVCQMPPJC-FQYDJHLKSA-M"
"CHEMBL116";"AMPRENAVIR";"141 W94|141W94|AMPRENAVIR|Agenerase|J05AE05|KVX-478|VX-478";"Small molecule";"4.0";"505.64";"148";"1202";"2.40";"131.19";"7";"3";"1";"11";"N";"0.40";"13.61";"2.39";"2.43";"2.43";"2";"MOL";"0";"35";"9";"4";"1";"505.2247";"-0.20";"NEUTRAL";"C25H35N3O6S";"CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1";"YMARZQAQMVYCKC-OEMFJLHTSA-N"
"CHEMBL139367";"PERAMIVIR";"PERAMIVIR|RWJ-270201";"Small molecule";"4.0";"328.41";"24";"307";"-0.14";"148.53";"4";"6";"1";"7";"N";"0.28";"4.09";"12.46";"-2.12";"-2.12";"0";"MOL";"0";"23";"8";"7";"1";"328.2111";"0.70";"ZWITTERION";"C15H28N4O4";"CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N";"XRQDFNLINLXZLB-CKIKVBCHSA-N"
"CHEMBL1229211";"DOLUTEGRAVIR";"DOLUTEGRAVIR|GSK 1349572|GSK-1349572|GSK1349572|S-349572|TIVICAY";"Small molecule";"4.0";"419.38";"44";"221";"1.35";"100.87";"6";"2";"0";"3";"N";"0.78";"10.10";"None";"1.10";"1.10";"2";"MOL";"0";"30";"8";"2";"0";"419.1293";"-0.92";"NEUTRAL";"C20H19F2N3O5";"C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12";"RHWKPHLQXYSBKR-BMIGLBTASA-N"
"CHEMBL1540";"PENCICLOVIR";"BRL-39123|Denavir|FENISTIL|NSC-759624|PENCICLOVIR|VECTAVIR";"Small molecule";"4.0";"253.26";"166";"908";"-0.90";"130.31";"8";"4";"0";"5";"N";"0.54";"11.59";"0.94";"-1.08";"-1.08";"2";"MOL";"0";"18";"8";"5";"0";"253.1175";"-0.33";"NEUTRAL";"C10H15N5O3";"Nc1nc(O)c2ncn(CCC(CO)CO)c2n1";"JNTOCHDNEULJHD-UHFFFAOYSA-N"
"CHEMBL204656";"ELVITEGRAVIR";"ELVITEGRAVIR|GS-9137|JTK-303|VITEKTA";"Small molecule";"4.0";"447.89";"17";"313";"4.28";"88.76";"5";"2";"0";"7";"N";"0.56";"5.97";"None";"4.67";"3.22";"3";"MOL";"0";"31";"6";"2";"0";"447.1249";"-0.44";"ACID";"C23H23ClFNO5";"COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C";"JUZYLCPPVHEVSV-LJQANCHMSA-N"
"CHEMBL4297503";"BALOXAVIR MARBOXIL";"BALOXAVIR MARBOXIL|S-033188|XOFLUZA";"Small molecule";"4.0";"571.56";"4";"96";"3.39";"99.54";"10";"0";"1";"4";"N";"0.34";"None";"None";"3.38";"3.38";"3";"MOL";"0";"40";"10";"0";"1";"571.1225";"-0.48";"NEUTRAL";"C27H23F2N3O7S";"COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O";"RZVPBGBYGMDSBG-GGAORHGYSA-N"
"CHEMBL3544985";"DASABUVIR SODIUM";"DASABUVIR SODIUM|DASABUVIR SODIUM ANHYDROUS";"Small molecule";"4.0";"533.58";"";"";"4.02";"110.26";"6";"2";"0";"5";"N";"0.44";"9.09";"None";"3.42";"3.42";"4";"MOL";"0";"35";"8";"2";"0";"493.1671";"-0.68";"NEUTRAL";"C26H28N3NaO6S";"COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[n-]c2=O)cc1C(C)(C)C.O.[Na+]";"SJHKKWUESHNTBB-UHFFFAOYSA-M"
