"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL139877";"SULFACARBAMIDE";"EUVERNIL|N-SULFANILYLCARBAMIDE|NSC-78438|SULFACARBAMIDE|SULFAUREA|SULPHAUREA|Sulfacarbamide|URACTYL|URAMID|URENIL|UROMIDE|UROSULFAN";"Small molecule";"4.0";"215.23";"7";"20";"-0.37";"115.28";"4";"3";"0";"2";"N";"0.58";"4.40";"2.10";"-0.59";"-1.53";"1";"MOL";"0";"14";"6";"5";"0";"215.0365";"-1.02";"ACID";"C7H9N3O3S";"NC(=O)NS(=O)(=O)c1ccc(N)cc1";"WVAKABMNNSMCDK-UHFFFAOYSA-N"
"CHEMBL338802";"SULFAGUANIDINE";"GPPE SUSP FTE|GUANIMYCIN|NSC-14041|SULFAGUANIDINE|SULPHAGUANIDINE";"Small molecule";"4.0";"214.25";"27";"64";"-0.56";"122.06";"4";"4";"0";"2";"N";"0.30";"10.53";"7.72";"-0.52";"-1.01";"1";"MOL";"0";"14";"6";"6";"1";"214.0524";"-0.76";"NEUTRAL";"C7H10N4O2S";"N=C(N)NS(=O)(=O)c1ccc(N)cc1";"BRBKOPJOKNSWSG-UHFFFAOYSA-N"
"CHEMBL21";"SULFANILAMIDE";"ANILINE-P-SULFONIC AMIDE|NSC-7618|P-AMINOBENZENESULFAMIDE|P-AMINOBENZENESULFONAMIDE|PRONTOSIL I|PRONTYLIN|STREPTOCID|SULFAMINE|SULFANILAMIDE|SULFONAMIDE|SULPHANILAMIDUM|Sulfanilamide";"Small molecule";"4.0";"172.21";"186";"1300";"-0.08";"86.18";"3";"2";"0";"1";"N";"0.58";"10.99";"2.27";"-0.25";"-0.25";"1";"MOL";"0";"11";"4";"4";"0";"172.0306";"-1.27";"NEUTRAL";"C6H8N2O2S";"Nc1ccc(S(N)(=O)=O)cc1";"FDDDEECHVMSUSB-UHFFFAOYSA-N"
"CHEMBL1723241";"SULFACETAMIDE SODIUM";"ALBUCID|BLEPH-10|BLEPH-30|Bleph|Cetamide|FLAMMAZINE|ISOPTO CETAMIDE|Klaron|NOVACET|NSC-625324|OCUSOL|OCUSULF-10|OCUSULF-30|Ocusulf|SODIUM SULFACETAMIDE|SODIUM SULFACETAMIDE, ANHYDROUS|SULF-10|SULF-15|SULFACEL-15|SULFACETAMIDE SODIUM|SULFACETAMIDE SODIUM ANHYDROUS|SULFACETAMIDE SODIUM SALT|SULFACETAMIDE SODIUM SALT MONOHYDRATE|SULFACETAMIDUM NATRICUM|SULFAIR 10|SULFAIR FORTE|SULFAIR-15|SULPHACETAMIDE SODIUM|SULTEN-10|Sodium Sulamyd|Sulfacel";"Small molecule";"4.0";"254.24";"8";"8";"0.09";"89.26";"4";"2";"0";"2";"N";"0.68";"4.30";"2.14";"-0.26";"-1.20";"1";"MOL";"0";"14";"5";"3";"0";"214.0412";"-1.06";"ACID";"C8H11N2NaO4S";"CC(=O)[N-]S(=O)(=O)c1ccc(N)cc1.O.[Na+]";"IHCDKJZZFOUARO-UHFFFAOYSA-M"
"CHEMBL2107253";"SULFADIMETHOXINE SODIUM";"DI-METHOX|SODIUM SULFADIMETHOXINE|SULFADIMETHOXINE SODIUM|SULFADIMETHOXINE SODIUM SALT";"Small molecule";"4.0";"332.32";"";"";"0.88";"116.43";"7";"2";"0";"5";"N";"0.79";"6.91";"1.99";"1.26";"0.78";"2";"MOL";"0";"21";"8";"3";"0";"310.0736";"-1.52";"NEUTRAL";"C12H13N4NaO4S";"COc1cc([N-]S(=O)(=O)c2ccc(N)cc2)nc(OC)n1.[Na+]";"DQDZQHMCPDUUPC-UHFFFAOYSA-N"
"CHEMBL1382627";"SULFADIAZINE, SILVER";"ALTREET-AG|DERMAZIN|FLAMAZINE|FLAMMACERIUM|SILDAFLO|SILVAZINE|SILVER SULFADIAZINE|SILVER SULPHADIAZINE|SSD AF|SULFADIAZINE SILVER|SULFADIAZINE SILVER SALT|SULFADIAZINE, SILVER|SULFADIAZINUM ARGENTUM|Silvadene|Silver sulfadiazine|THERMAZENE";"Small molecule";"4.0";"357.14";"87";"119";"0.86";"97.97";"5";"2";"0";"3";"N";"0.79";"6.99";"2.01";"0.39";"-0.05";"2";"MOL";"0";"17";"6";"3";"0";"250.0524";"-1.65";"NEUTRAL";"C10H9AgN4O2S";"Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Ag+]";"UEJSSZHHYBHCEL-UHFFFAOYSA-N"
"CHEMBL455";"SULFACETAMIDE";"Bleph-10|Bleph-30|Cetamide|FML-S|Klaron|NSC-63871|Ocusulf-10|Ocusulf-30|SULF-10|SULF-15|SULFACETAMIDE|SULFACETAMIDE (TRIPLE SULFA)|SULFACETAMIDUM|SULPHACETAMIDE|Sulfacel-15|Sulfacetamide|Sulfair-15|Sulster|Sulten-10|TRIPLE SULFA (SULFACETAMIDE)|UROSULFON";"Small molecule";"4.0";"214.25";"35";"92";"0.09";"89.26";"4";"2";"0";"2";"N";"0.68";"4.30";"2.14";"-0.26";"-1.20";"1";"MOL";"0";"14";"5";"3";"0";"214.0412";"-1.06";"ACID";"C8H10N2O3S";"CC(=O)NS(=O)(=O)c1ccc(N)cc1";"SKIVFJLNDNKQPD-UHFFFAOYSA-N"
"CHEMBL443";"SULFAMETHOXAZOLE";"ACETYLSULFAMETHOXAZOLE|Acetylsulfamethoxazole|GANTANOL-DS|Gantanol|NSC-147832|RO 4-2130|RO-4-2130|STX-608|SULFAMETHOXAZOLE|SULFAMETHOXAZOLE SODIUM|SULFAMETHOXAZOLUM|SULPHAMETHOXAZOLE|Sinomin|Suphamethoxazole|UROBAK";"Small molecule";"4.0";"253.28";"189";"1207";"1.37";"98.22";"5";"2";"0";"3";"N";"0.80";"6.16";"1.97";"0.79";"0.00";"2";"MOL";"0";"17";"6";"3";"0";"253.0521";"-2.12";"ACID";"C10H11N3O3S";"Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1";"JLKIGFTWXXRPMT-UHFFFAOYSA-N"
"CHEMBL438";"SULFAMERAZINE";"Mesulfa|Methypyrimal|NSC-27259|SULFAMERAZINE|SULFAMERAZINE (TRISULFAPYRIMIDINES)|SULPHAMERAZINE|Sulfamerazine|Sulfamethyldiazine|Sumedin";"Small molecule";"4.0";"264.31";"127";"321";"1.17";"97.97";"5";"2";"0";"3";"N";"0.81";"6.99";"2.00";"0.52";"0.08";"2";"MOL";"0";"18";"6";"3";"0";"264.0681";"-1.71";"NEUTRAL";"C11H12N4O2S";"Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1";"QPPBRPIAZZHUNT-UHFFFAOYSA-N"
"CHEMBL1200351";"SULFADIAZINE SODIUM";"NSC-117870|SODIUM SULFADIAZINE|SULFADIAZINE SODIUM";"Small molecule";"4.0";"272.26";"";"";"0.86";"97.97";"5";"2";"0";"3";"N";"0.79";"6.99";"2.01";"0.39";"-0.05";"2";"MOL";"0";"17";"6";"3";"0";"250.0524";"-1.65";"NEUTRAL";"C10H9N4NaO2S";"Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Na+]";"JLDCNMJPBBKAHH-UHFFFAOYSA-N"
