pert_iname,smiles
(R)-(-)-apomorphine,CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31
(R)-(-)-rolipram,COc1ccc(cc1OC1CCCC1)[C@@H]1CNC(=O)C1
(R)-baclofen,NC[C@H](CC(O)=O)c1ccc(Cl)cc1
(S)-(+)-rolipram,COc1ccc(cc1OC1CCCC1)[C@H]1CNC(=O)C1
"[sar9,met(o2)11]-substance-p",CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O
"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium",Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2
"1-(1,2-diphenylethyl)piperidine-(+/-)",C([C@@H](N1CCCCC1)c1ccccc1)c1ccccc1 |&1:1|
1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol,"CC(C)NC[C@@H](O)COc1cc(C)ccc1Cl |&1:5,r|"
1-acetyl-4-methylpiperazine,CN1CCN(CC1)C(C)=O
1-azakenpaullone,Brc1ccc2[nH]c-3c(CC(=O)Nc4cccnc-34)c2c1
1-deoxymannojirimycin,OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O
1-EBIO,CCn1c2ccccc2[nH]c1=O
1-ethyl-2-pyrrolidone,CCN1CCCC1=O
1-hexadecanal,CCCCCCCCCCCCCCCC=O
1-hexadecanol,CCCCCCCCCCCCCCCCO
1-naphthyl-PP1,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12
1-octacosanol,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO
1-octanol,CCCCCCCCO
1-phenylbiguanide,NC(N)=NC(=N)Nc1ccccc1
"1,12-Besm",CCNCCCNCCCCNCCCNCC
"1,2,3,4,5,6-hexabromocyclohexane",BrC1C(Br)C(Br)C(Br)C(Br)C1Br
"1,3-dipropyl-8-phenylxanthine",CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)-c1ccccc1
"1,4-butanediol",OCCCCO
"1,5-dicaffeoylquinic-acid",O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O
10-deacetylbaccatin,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C |t:33|
10-DEBC,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12
10-hydroxycamptothecin,CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O
10058-F4,CCc1ccc(\C=C2\SC(=S)NC2=O)cc1
12-O-tetradecanoylphorbol-13-acetate,"CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O |c:33,t:22|"
1400W,CC(=N)NCc1cccc(CN)c1
"16,16-dimethylprostaglandin-e2",CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
17-hydroxyprogesterone-caproate,CCCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O |t:15|
17-PA,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2c1ccccc1 |c:21|
1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime,CCCCCCCCCCC[C@@H](N=O)c1cc(C)ccc1O |r|
"1S,2R-phenylpropanolamine",C[C@@H](N)[C@@H](O)c1ccccc1
2-(1-adamantylamino)benzoic-acid,OC(=O)c1ccccc1NC(=O)C12CC3CC(CC(C3)C1)C2
2-(3-mercaptopropyl)pentanedioic-acid,"OC(=O)CC[C@@H](CCCS)C(O)=O |&1:5,r|"
"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",ClC=C1Nc2sc3CCCCc3c2C(=O)N1
2-[1-(4-piperonyl)piperazinyl]benzothiazole,C(N1CCN(CC1)c1nc2ccccc2s1)c1ccc2OCOc2c1
2-aminobenzenesulfonamide,Nc1ccccc1S(N)(=O)=O
2-APB,NCCOB(c1ccccc1)c1ccccc1
2-BFI,C1CN=C(N1)c1cc2ccccc2o1 |c:2|
2-chloro-N6-cyclopentyladenosine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12
2-chloroadenosine,Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
2-chloropyrazine,Clc1cnccn1
2-CMDO,CN1CCN(CC1)C1=Cc2ccccc2Oc2ccc(Cl)cc12 |t:8|
2-deoxy-2-([methyl(nitroso)carbamoyl]amino)hexose,"CN([NH2+][O-])C(=O)N[C@@H](C=O)[C@@H](O)[C@@H](O)[C@@H](O)CO |&1:7,&2:10,&3:12,&4:14,r|"
2-deoxyglucose,OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O
