r_i_docking_score,ZINC_ID,SMILES
-20.660721,ZINC001682309063,CN1C[C@@H](CNC(=O)N[C@@H]2CC[C@@H](c3cccc(F)c3)C2)[C@H](c2ccccc2)C1
-20.596266,ZINC001563911425,COc1cccc(N2CC[C@@H](NC(=O)NC[C@@H]3CN(C)C[C@H]3c3ccccc3)C2)c1
-20.572157,ZINC000525833794,c1ncn(Cc2ccccc2)c1CN[C@H](Cc1ccccc1)c1ccccc1
-20.466673,ZINC000145862172,Cc1c[nH]c(=O)n1-c1ccc(C(=O)O[C@H](C)C(=O)NCCC2=CCCCC2)cc1
-20.425659,ZINC001634653522,Cc1ccc(C2=NO[C@H](CNC(=O)NC[C@@H]3CN(C)C[C@H]3c3ccccc3)C2)cc1
-20.349735,ZINC000920539820,Cc1cnc(O)n1-c1ccc(C(=O)O[C@H](C)C(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1
-20.338118,ZINC001216963341,Oc1nnc(Cc2cccc(-c3nc(-c4cccc5cnccc54)no3)c2)c2ccccc12
-20.331179,ZINC001220943525,C[C@H](Cc1ccc(Br)cc1)NC(=O)NC[C@@H]1CN(C)C[C@H]1c1ccccc1
-20.171091,ZINC000063996676,Cc1c[nH]c(=O)n1-c1ccc(C(=O)O[C@H](C)C(=O)NC[C@H](C)c2ccccc2)cc1
-20.108397,ZINC001444268458,CCN(c1ccccc1)c1ccc(CNC(=O)c2ccc(-n3c(C)cnc3O)cc2)cc1
-20.061325,ZINC001681950543,COc1ccc(C2=NO[C@H](CNC(=O)NC[C@@H]3CN(C)C[C@H]3c3ccccc3)C2)cc1
-20.038315,ZINC001349695643,CCCCc1ccc(-c2csc(NC(=O)Cn3c4ccccc4n(CC)c3=O)n2)cc1
-20.030241,ZINC000606066233,CCN1CCc2ccc(NC(=O)C(=O)NCc3ccc(-n4cnc5ccccc54)cc3)cc21
-20.026234,ZINC001681941210,CN1C[C@@H](CNC(=O)NCCc2ccc3[nH]ccc3c2)[C@H](c2ccccc2)C1
-19.99703,ZINC000766177571,C[C@@H](OC(=O)/C=C/c1ccc2[nH]ccc2c1)C(=O)NCCc1c[nH]c2ccccc12
-19.983492,ZINC000417151667,CC(C)Oc1ccc(CC[C@@H](C)NC(=O)N[C@@H]2CC[C@@H]3CNC[C@@H]3C2)cc1
-19.918098,ZINC000818676756,COc1ccc(N2CC[C@H](CNC(=O)C(=O)N3CCC[C@@H](CCN)C3)C2)cc1
-19.880781,ZINC001682996801,CCc1ccc2ccccc2c1CNC(=O)NC[C@H]1CCN(c2ccc(F)cc2)C1
-19.858686,ZINC001669209976,O=C(NC[C@@H](O)c1ccc(-c2ccccc2)cc1)NC[C@@H]1CCCN1Cc1ccccc1
-19.849871,ZINC001166512894,COc1cc2cnc(N3CCC[C@]4(CCN(c5cncnc5)C4=O)C3)cc2cc1OC
-19.832869,ZINC001657071222,N#Cc1ccccc1COc1cccc(CNc2cnc3[nH]ncc3c2)c1
-19.81114,ZINC001466056134,CC(=O)Nc1ccc(-c2csc(NC(=O)C[C@H](c3ncc[nH]3)c3ccccc3)n2)c(F)c1
-19.794218,ZINC001632466155,C[C@@H](CNC(=O)NC[C@@H](O)c1ccc(-c2ccccc2)cc1)Sc1ccccc1
-19.780096,ZINC001308520938,N#Cc1ccccc1COc1cccc(CNc2c[nH]c3nccc-3c2)c1
-19.752045000000003,ZINC000084606001,O=C(OCCOc1ccc2ccccc2c1)c1ccc2cn[nH]c2c1
-19.750134,ZINC000489625308,O=C(NCCCC(=O)N1Cc2ccccc2C1)NC[C@@H]1SCCc2ccccc21
-19.742754,ZINC000521599970,O=C(CCCc1ccc2nc(O)[nH]c2c1)NCc1ccc(-c2ccc3c(c2)CCCO3)cc1
-19.708445,ZINC000544826145,O=C(CCN[C@H](Cc1cccnc1)c1ccc(Cl)cc1)N1CCN(c2ccccc2)CC1
-19.707903,ZINC000638118291,O=C(N[C@@H]1CCCN(c2ccccc2)C1)c1nnn([C@H]2CCNC2)c1C(F)F
-19.704857,ZINC000105903201,O=C(CCN[C@H](Cc1ccccc1)c1ccccc1)N1CCN(c2ccc(F)cc2)CC1
-19.693031,ZINC000474667680,C[C@@H](NC(=O)N[C@@H](c1ccn(C)n1)c1ccc(F)cc1)C(=O)N1Cc2ccccc2C1
-19.688118,ZINC000729788495,C[C@@H](OC(=O)c1ccc2c(c1)C[C@@H](c1ccccc1)OC2=O)C(=O)NCCc1ccccc1
-19.66399,ZINC001671026076,CN1C[C@@H](CNC(=O)N[C@@H]2CCN(c3ccc(F)c(Cl)c3)C2)[C@H](c2ccccc2)C1
-19.656876,ZINC000891990611,CN1C[C@@H](CNC(=O)NCCc2cn3c(n2)CCCC3)[C@H](c2ccccc2)C1
-19.648264,ZINC001686066858,Cc1cc(Br)cn2cc(CCNC(=O)NC[C@@H]3CN(C)C[C@H]3c3ccccc3)nc12
-19.643187,ZINC000601286219,C[C@H]1Cc2ccccc2N1CCNC(=O)NCCCC(=O)N1Cc2ccccc2C1
-19.641623000000003,ZINC001464537840,CCOc1ccccc1-c1cc(C(=O)NC[C@H]2CCN(c3ccc(F)c(F)c3)C2)n[nH]1
-19.639658,ZINC001225130844,C[C@@H](NC(=O)N[C@H]1CCN(C(C)(C)C)C1=O)c1ccc(-c2ccc(Cl)cc2)s1
-19.627773,ZINC001225546521,CC(C)[C@H]1CC[C@@H](C)C[C@H]1CNC(=O)NCC(=O)N1CCN(c2ccc(Cl)cc2)CC1
-19.620817,ZINC000495251086,C[C@H]1Cc2ccccc2N1CCNC(=O)c1c[nH]cc1-c1ccccc1F
-19.604717,ZINC001682418789,COc1ccc(N2CC[C@H](CNC(=O)NCc3c(F)cccc3-n3cccn3)C2)cc1
-19.597075,ZINC000487150145,Cn1c(O)nc2ncc(-c3cccc(C(=O)N[C@@H]4CCN(C(N)=O)C4)c3)cc21
-19.59491,ZINC000841900481,Cc1ccc(C2=NO[C@H](CNC(=O)NCc3ccc([C@@H](C)N)cc3)C2)cc1
-19.583315,ZINC000842749427,O=C(O[C@@H]1CCN(Cc2ccc3c(c2)CCC3)C1)c1cc2cc[nH]c(=O)c2s1
-19.57332,ZINC000469559752,C[C@H](O)C[C@@H](CNC(=O)C(=O)Nc1cccc(N2CCC(C)CC2)c1)c1ccccc1
-19.565813,ZINC000303479159,C[C@H](CCc1ccccc1)NC(=O)N[C@@H]1CCN(c2ccccc2Cl)C1=O
-19.547228,ZINC000447763881,COc1cccc(-c2c[nH]cc2C(=O)N[C@@H]2C[C@H]2c2cccc(F)c2)c1
-19.541798,ZINC001465235333,CCN(c1ccccc1)c1ccc(CNC(=O)c2ccc(-n3ccnc3O)cc2)cc1
