"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1200819";"ARTICAINE HYDROCHLORIDE";"40 045|ARTICAINE HCL|ARTICAINE HYDROCHLORIDE|CARTICAINE HYDROCHLORIDE|HOE 045|HOE-045|HOE-40045|Septanest|Septocaine|UBISTESINE|ULTRACAIN|Ultracaine";"Small molecule";"4.0";"320.84";"5";"7";"2.17";"67.43";"5";"2";"0";"6";"N";"0.79";"11.61";"8.68";"3.25";"1.94";"1";"MOL";"0";"19";"5";"2";"0";"284.1195";"-1.23";"BASE";"C13H21ClN2O3S";"CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC.Cl";"GDWDBGSWGNEMGJ-UHFFFAOYSA-N"
"CHEMBL1200597";"ETIDOCAINE HYDROCHLORIDE";"DURANEST|DURANEST HYDROCHLORIDE|ETIDOCAINE HCL|ETIDOCAINE HYDROCHLORIDE|W-19053";"Small molecule";"4.0";"312.89";"";"";"3.75";"32.34";"2";"1";"0";"7";"N";"0.82";"13.62";"8.59";"4.46";"3.25";"1";"MOL";"0";"20";"3";"1";"0";"276.2202";"-1.39";"BASE";"C17H29ClN2O";"CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C.Cl";"LMWQQUMMGGIGJQ-UHFFFAOYSA-N"
"CHEMBL1889140";"ROPIVACAINE HYDROCHLORIDE";"NAROPIN|Narapin|ROPIVACAINE HCL|ROPIVACAINE HYDROCHLORIDE|ROPIVACAINE HYDROCHLORIDE HYDRATE|ROPIVACAINE HYDROCHLORIDE MONOHYDRATE";"Small molecule";"4.0";"310.87";"15";"22";"3.51";"32.34";"2";"1";"0";"4";"N";"0.91";"13.62";"7.82";"4.07";"3.51";"1";"MOL";"0";"20";"3";"1";"0";"274.2045";"-1.37";"NEUTRAL";"C17H27ClN2O";"CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C.Cl";"NDNSIBYYUOEUSV-RSAXXLAASA-N"
"CHEMBL569";"PROCAINE";"NSC-169497|Novocain|PROCAINE|Procaine";"Small molecule";"4.0";"236.31";"149";"747";"1.77";"55.56";"4";"1";"0";"6";"N";"0.60";"None";"8.96";"1.88";"0.31";"1";"MOL";"0";"17";"4";"2";"0";"236.1525";"-0.84";"BASE";"C13H20N2O2";"CCN(CC)CCOC(=O)c1ccc(N)cc1";"MFDFERRIHVXMIY-UHFFFAOYSA-N"
"CHEMBL1086";"DIBUCAINE";"CINCHOCAINE|DIBUCAINE|Dibucaine|NSC-159055|Nupercainal";"Small molecule";"4.0";"343.47";"41";"126";"3.49";"54.46";"4";"1";"0";"10";"N";"0.67";"None";"9.04";"3.70";"2.05";"2";"MOL";"0";"25";"5";"1";"0";"343.2260";"-1.53";"BASE";"C20H29N3O2";"CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1";"PUFQVTATUTYEAL-UHFFFAOYSA-N"
"CHEMBL1200440";"MEPIVACAINE HYDROCHLORIDE";"ARESTOCAINE HYDROCHLORIDE|Carbocaine|ISOCAINE HYDROCHLORIDE|MEPIVACAINE HCL|MEPIVACAINE HYDROCHLORIDE|MEPIVACAINE MONOHYDROCHLORIDE|NSC-758674|OPTOCAIN|POLOCAINE-MPF|Polocaine|SCANDICAIN|SCANDICAINE|SCANDONEST|SCANDONEST PLAIN";"Small molecule";"4.0";"282.82";"22";"22";"2.73";"32.34";"2";"1";"0";"2";"Y";"0.87";"13.62";"7.25";"3.19";"2.96";"1";"MOL";"0";"18";"3";"1";"0";"246.1732";"-1.02";"NEUTRAL";"C15H23ClN2O";"Cc1cccc(C)c1NC(=O)C1CCCCN1C.Cl";"RETIMRUQNCDCQB-UHFFFAOYSA-N"
"CHEMBL1200749";"LEVOBUPIVACAINE HYDROCHLORIDE";"BUPIVACAINE (-)-FORM HYDROCHLORIDE|CHIROCAINE|Chirocaine|LEVOBUPIVAC|LEVOBUPIVACAINE HCL|LEVOBUPIVACAINE HYDROCHLORIDE";"Small molecule";"4.0";"324.90";"2";"13";"3.90";"32.34";"2";"1";"0";"5";"N";"0.89";"13.62";"8.00";"4.52";"3.82";"1";"MOL";"0";"21";"3";"1";"0";"288.2202";"-1.36";"NEUTRAL";"C18H29ClN2O";"CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C.Cl";"SIEYLFHKZGLBNX-NTISSMGPSA-N"
"CHEMBL1077896";"ROPIVACAINE";"ROPIVACAINE|ROPIVICAINE|TLC-590|TLC590";"Small molecule";"4.0";"274.41";"16";"57";"3.51";"32.34";"2";"1";"0";"4";"N";"0.91";"13.62";"7.82";"4.07";"3.51";"1";"MOL";"0";"20";"3";"1";"0";"274.2045";"-1.37";"NEUTRAL";"C17H26N2O";"CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C";"ZKMNUMMKYBVTFN-HNNXBMFYSA-N"
"CHEMBL1093";"ARTICAINE";"40 045|40-045|ARTICAINE|Articaine|CARTICAINE|HOE 045|HOE-045|Septocaine";"Small molecule";"4.0";"284.38";"10";"29";"2.17";"67.43";"5";"2";"0";"6";"N";"0.79";"11.61";"8.68";"3.25";"1.94";"1";"MOL";"0";"19";"5";"2";"0";"284.1195";"-1.23";"BASE";"C13H20N2O3S";"CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC";"QTGIAADRBBLJGA-UHFFFAOYSA-N"
"CHEMBL1200841";"PROCAINE HYDROCHLORIDE";"ANESTIL|ENPRO|JENACAINE|MEDAJECT|NAUCAINE|NEOCAINE|NSC-757280|Novocain|OMNICAIN|PASCONEURAL N|PLANOCAINE|PROCAINE HCL|PROCAINE HYDROCHLORIDE|PROCAINI HYDROCHLORIDUM|ROCAIN|SP-01A|SP01A|SYNTOCAIN";"Small molecule";"4.0";"272.78";"25";"34";"1.77";"55.56";"4";"1";"0";"6";"N";"0.60";"None";"8.96";"1.88";"0.31";"1";"MOL";"0";"17";"4";"2";"0";"236.1525";"-0.84";"BASE";"C13H21ClN2O2";"CCN(CC)CCOC(=O)c1ccc(N)cc1.Cl";"HCBIBCJNVBAKAB-UHFFFAOYSA-N"
