"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1651990";"FENTICONAZOLE";"FENTICONAZOLE";"Small molecule";"4.0";"455.41";"6";"25";"7.30";"27.05";"4";"0";"1";"8";"N";"0.28";"None";"6.48";"6.94";"6.90";"4";"MOL";"0";"30";"3";"0";"1";"454.0673";"-1.04";"NEUTRAL";"C24H20Cl2N2OS";"Clc1ccc(C(Cn2ccnc2)OCc2ccc(Sc3ccccc3)cc2)c(Cl)c1";"ZCJYUTQZBAIHBS-UHFFFAOYSA-N"
"CHEMBL2107703";"FENTICONAZOLE NITRATE";"FENTICONAZOLE MONONITRATE|FENTICONAZOLE NITRATE|GYNOXIN|LOMEXIN|REC 15/1476";"Small molecule";"4.0";"518.42";"2";"4";"7.30";"27.05";"4";"0";"1";"8";"N";"0.28";"None";"6.48";"6.94";"6.90";"4";"MOL";"0";"30";"3";"0";"1";"454.0673";"-1.04";"NEUTRAL";"C24H21Cl2N3O4S";"Clc1ccc(C(Cn2ccnc2)OCc2ccc(Sc3ccccc3)cc2)c(Cl)c1.O=[N+]([O-])O";"FJNRUWDGCVDXLU-UHFFFAOYSA-N"
"CHEMBL1571863";"ISOCONAZOLE";"ISOCONAZOLE|ISOCONAZOLE NITRATE|MICONAZOLE 2,6-ISOMER|R 15,454|R-15,454|R-15,454 [AS NITRATE SALT]|R-15454|TRAVOGYN";"Small molecule";"4.0";"416.13";"31";"69";"6.45";"27.05";"3";"0";"1";"6";"N";"0.46";"None";"6.48";"5.96";"5.92";"3";"MOL";"0";"25";"3";"0";"1";"413.9860";"-0.98";"NEUTRAL";"C18H14Cl4N2O";"Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1";"MPIPASJGOJYODL-UHFFFAOYSA-N"
"CHEMBL638";"VORICONAZOLE";"NSC-759888|UK-109,496|UK-109496|VORICONAZOLE|Vfend";"Small molecule";"4.0";"349.32";"188";"2857";"2.18";"76.72";"6";"1";"0";"5";"N";"0.76";"12.70";"2.01";"1.82";"1.82";"3";"MOL";"0";"25";"6";"1";"0";"349.1150";"-0.76";"NEUTRAL";"C16H14F3N5O";"C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F";"BCEHBSKCWLPMDN-MGPLVRAMSA-N"
"CHEMBL1306";"TERCONAZOLE";"FUNGISTAT|Fungistat|Gyno-Terazol|NSC-331942|Panlomyc|R 42470|R-42,470|R-42470|TERAZOL 3|TERAZOL 7|TERCONAZOLE|TERCOSPOR|TERMAYAZOLE|TRIACONAZOLE|Terazol|Triaconazole";"Small molecule";"4.0";"532.47";"146";"405";"4.46";"64.88";"8";"0";"1";"8";"N";"0.42";"None";"8.41";"5.37";"4.33";"3";"MOL";"0";"36";"8";"0";"1";"531.1804";"-0.85";"NEUTRAL";"C26H31Cl2N5O3";"CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1";"BLSQLHNBWJLIBQ-OZXSUGGESA-N"
"CHEMBL2105689";"LULICONAZOLE";"LULICON|LULICONAZOLE|LUZU|NND-502|PR-2699";"Small molecule";"4.0";"354.29";"5";"18";"5.06";"41.61";"5";"0";"1";"2";"N";"0.71";"None";"5.89";"4.07";"4.06";"2";"MOL";"0";"21";"3";"0";"1";"352.9615";"-1.04";"NEUTRAL";"C14H9Cl2N3S2";"N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1";"YTAOBBFIOAEMLL-REQDGWNSSA-N"
"CHEMBL1201196";"SERTACONAZOLE";"Demofix|Ertaczo|FI-7045|SERTACONAZOLE";"Small molecule";"4.0";"437.78";"11";"31";"7.02";"27.05";"4";"0";"1";"6";"N";"0.32";"None";"6.48";"6.23";"6.19";"4";"MOL";"0";"27";"3";"0";"1";"435.9971";"-1.17";"NEUTRAL";"C20H15Cl3N2OS";"Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1";"JLGKQTAYUIMGRK-UHFFFAOYSA-N"
"CHEMBL1221";"SULCONAZOLE";"Exelderm|SULCONAZOLE|Sulconazole";"Small molecule";"4.0";"397.76";"122";"702";"6.52";"17.82";"3";"0";"1";"6";"N";"0.47";"None";"6.51";"6.06";"6.02";"3";"MOL";"0";"24";"2";"0";"1";"396.0022";"-1.29";"NEUTRAL";"C18H15Cl3N2S";"Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1";"AFNXATANNDIXLG-UHFFFAOYSA-N"
"CHEMBL1295";"BUTOCONAZOLE";"BUTOCONAZOLE|Butoconazole|GYNOFORT|Gynazole-1|NSC-758658";"Small molecule";"4.0";"411.79";"8";"44";"6.64";"17.82";"3";"0";"1";"7";"N";"0.41";"None";"6.51";"6.55";"6.51";"3";"MOL";"0";"25";"2";"0";"1";"410.0178";"-1.15";"NEUTRAL";"C19H17Cl3N2S";"Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1";"SWLMUYACZKCSHZ-UHFFFAOYSA-N"
"CHEMBL1262";"OXICONAZOLE";"OXICONAZOLE|Oxiconazole|Oxistat|Oxizole";"Small molecule";"4.0";"429.13";"130";"606";"6.12";"39.41";"4";"0";"1";"6";"N";"0.35";"None";"6.74";"5.84";"5.78";"3";"MOL";"0";"26";"4";"0";"1";"426.9813";"-1.47";"NEUTRAL";"C18H13Cl4N3O";"Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1";"QRJJEGAJXVEBNE-HKOYGPOVSA-N"
