"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1742424";"CELIPROLOL HYDROCHLORIDE";"ACER-002|ACER002|CELECTOL|CELIPROLOL HCL|CELIPROLOL HYDROCHLORIDE|NSC-324509|SELECTOL|Selecor";"Small molecule";"4.0";"415.96";"2";"7";"2.89";"90.90";"5";"3";"0";"9";"N";"0.57";"13.55";"9.66";"1.50";"-0.72";"1";"MOL";"0";"27";"7";"3";"0";"379.2471";"-1.22";"BASE";"C20H34ClN3O4";"CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1.Cl";"VKJHTUVLJYWAEY-UHFFFAOYSA-N"
"CHEMBL1291";"METIPRANOLOL";"BM-01.004|BM-01004|BM01.004|D,L-METIPRANOLOL|GLAULINE|METIPRANOLOL|Metipranolol|OptiPranolol|Optipranolol|VUAB-6453|VUAB6453|VUAB6453 (SPOFA)";"Small molecule";"4.0";"309.41";"9";"55";"2.27";"67.79";"5";"2";"0";"7";"N";"0.60";"None";"9.67";"2.74";"0.52";"1";"MOL";"0";"22";"5";"2";"0";"309.1940";"0.01";"BASE";"C17H27NO4";"CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C";"BQIPXWYNLPYNHW-UHFFFAOYSA-N"
"CHEMBL434394";"NEBIVOLOL";"HYPOLOC|NARBIVOLOL|NEBILET|NEBIVOLOL|R-65824|R65,824";"Small molecule";"4.0";"405.44";"11";"42";"2.36";"70.95";"5";"3";"0";"6";"N";"0.69";"13.52";"8.90";"3.21";"1.71";"2";"MOL";"0";"29";"5";"3";"0";"405.1752";"0.07";"BASE";"C22H25F2NO4";"OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1";"KOHIRBRYDXPAMZ-UHFFFAOYSA-N"
"CHEMBL1201177";"LEVOBUNOLOL HYDROCHLORIDE";"Akbeta|Betagan|LEVOBUNOLOL HCL|LEVOBUNOLOL HYDROCHLORIDE|NSC-759158|W 7000A|W-7000A";"Small molecule";"4.0";"327.85";"7";"13";"2.33";"58.56";"4";"2";"0";"5";"N";"0.87";"None";"9.66";"2.18";"-0.04";"1";"MOL";"0";"21";"4";"2";"0";"291.1834";"-0.32";"BASE";"C17H26ClNO3";"CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O.Cl";"DNTDOBSIBZKFCP-YDALLXLXSA-N"
"CHEMBL1200947";"METIPRANOLOL HYDROCHLORIDE";"BETAMANN|METIPRANOLOL|METIPRANOLOL HCL|METIPRANOLOL HYDROCHLORIDE|OPTIPRANOLOL";"Small molecule";"4.0";"345.87";"";"";"2.27";"67.79";"5";"2";"0";"7";"N";"0.60";"None";"9.67";"2.74";"0.52";"1";"MOL";"0";"22";"5";"2";"0";"309.1940";"0.01";"BASE";"C17H28ClNO4";"CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C.Cl";"BLWNYSZZZWQCKO-UHFFFAOYSA-N"
"CHEMBL3989566";"METOPROLOL FUMARATE";"CGP 2175C|CGP-2175C|Lopressor|METOPROLOL FUMARATE|METOROS|METOROS LS";"Small molecule";"4.0";"650.81";"";"";"1.61";"50.72";"4";"2";"0";"9";"N";"0.71";"None";"9.67";"1.76";"-0.47";"1";"MOL";"0";"19";"4";"2";"0";"267.1834";"-0.38";"BASE";"C34H54N2O10";"COCCc1ccc(OCC(O)CNC(C)C)cc1.COCCc1ccc(OCC(O)CNC(C)C)cc1.O=C(O)/C=C/C(=O)O";"BRIPGNJWPCKDQZ-WXXKFALUSA-N"
"CHEMBL500";"PINDOLOL";"(RS)-PINDOLOL|APO-PINDOL|BETADREN|BETAPINDOL|BLOCKLIN-L|CALVISKEN|CARVISKEN|DECRETEN|DL-LB-46|DL-PINDOLOL|DURAPINDOL|GLAUCO-VISKEN|LB-46|NSC-757276|PECTOBLOC|PINBETOL|PINDOLOL|PRINODOLOL|PYNASTIN|Visken";"Small molecule";"4.0";"248.33";"192";"624";"1.91";"57.28";"3";"3";"0";"6";"N";"0.73";"None";"9.67";"1.69";"-0.53";"2";"MOL";"0";"18";"4";"3";"0";"248.1525";"-0.38";"BASE";"C14H20N2O2";"CC(C)NCC(O)COc1cccc2[nH]ccc12";"JZQKKSLKJUAGIC-UHFFFAOYSA-N"
"CHEMBL1201237";"LEVOBUNOLOL";"BUNOLOL, (-)-|BUNOLOL, (S)-|LEVOBUNOLOL|Levobunolol";"Small molecule";"4.0";"291.39";"111";"317";"2.33";"58.56";"4";"2";"0";"5";"N";"0.87";"None";"9.66";"2.18";"-0.04";"1";"MOL";"0";"21";"4";"2";"0";"291.1834";"-0.32";"BASE";"C17H25NO3";"CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O";"IXHBTMCLRNMKHZ-LBPRGKRZSA-N"
"CHEMBL1201002";"CARTEOLOL HYDROCHLORIDE";"ABBOTT-43326|CARTEOLOL HCL|CARTEOLOL HYDROCHLORIDE|Cartrol|NSC-300906|OPC-1085|Ocupress|TEOPTIC";"Small molecule";"4.0";"328.84";"5";"13";"1.70";"70.59";"4";"3";"0";"5";"N";"0.77";"13.41";"9.76";"1.42";"-0.89";"1";"MOL";"0";"21";"5";"3";"0";"292.1787";"-0.34";"BASE";"C16H25ClN2O3";"CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2.Cl";"FYBXRCFPOTXTJF-UHFFFAOYSA-N"
"CHEMBL768";"ESMOLOL";"ASL-8052-001|ESMOLOL|Esmolol";"Small molecule";"4.0";"295.38";"122";"662";"1.53";"67.79";"5";"2";"0";"9";"N";"0.68";"None";"9.67";"1.82";"-0.40";"1";"MOL";"0";"21";"5";"2";"0";"295.1784";"-0.24";"BASE";"C16H25NO4";"COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1";"AQNDDEOPVVGCPG-UHFFFAOYSA-N"
"CHEMBL839";"CARTEOLOL";"CARTEOLOL|Carteolol|Cartrol|Ocupress";"Small molecule";"4.0";"292.38";"27";"69";"1.70";"70.59";"4";"3";"0";"5";"N";"0.77";"13.41";"9.76";"1.42";"-0.89";"1";"MOL";"0";"21";"5";"3";"0";"292.1787";"-0.34";"BASE";"C16H24N2O3";"CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2";"LWAFSWPYPHEXKX-UHFFFAOYSA-N"
"CHEMBL1200837";"LEVOBETAXOLOL HYDROCHLORIDE";"AL-1577A|AL1577A|Betaxon|LEVOBETAXOLOL HCL|LEVOBETAXOLOL HYDROCHLORIDE";"Small molecule";"4.0";"343.90";"";"";"2.39";"50.72";"4";"2";"0";"11";"N";"0.62";"None";"9.67";"2.54";"0.31";"1";"MOL";"0";"22";"4";"2";"0";"307.2147";"-0.56";"BASE";"C18H30ClNO3";"CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1.Cl";"CHDPSNLJFOQTRK-LMOVPXPDSA-N"
"CHEMBL27810";"CELIPROLOL";"CELIPROLOL|CELIPROLOL PCH";"Small molecule";"4.0";"379.50";"10";"20";"2.89";"90.90";"5";"3";"0";"9";"N";"0.57";"13.55";"9.66";"1.50";"-0.72";"1";"MOL";"0";"27";"7";"3";"0";"379.2471";"-1.22";"BASE";"C20H33N3O4";"CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1";"JOATXPAWOHTVSZ-UHFFFAOYSA-N"
"CHEMBL1671";"PROPRANOLOL HYDROCHLORIDE";"ANGILOL|APSOLOL|AVLOCARDYL|AY 64043|AY-64043|BEDRANOL|BEDRANOL S.R.|BERKOLOL|BETA-PROGRANE MR|BETADUR CR|CARDINOL|DUPROMEX|HALF BETA-PROGRANE MR|HALF PROPANIX LA|HALF PROPATARD LA|HALF-BEPRANE CR|HALF-BETADUR CR|HALF-INDERAL LA|HEMANGEOL|ICI 45520|ICI-45520|INDERAL LA|INNOPRAN XL|Inderal|Innopran|LEDERPRONOL|LOPRANOL LA|NSC-91523|PROBETA LA|PROPANIX LA|PROPANIX-10|PROPANIX-160|PROPANIX-160 SR|PROPANIX-40|PROPANIX-80|PROPATARD LA|PROPRANOLOL HYDROCHLORIDE|PROPRANOLOL HYDROCHLORIDE INTENSOL|RAPRANOL SR|SLO-BLOK|SLO-PRO|SLOPROLOL|SYPROL|Sagittol|Tesnol";"Small molecule";"4.0";"295.81";"68";"199";"2.58";"41.49";"3";"2";"0";"6";"N";"0.84";"None";"9.67";"2.58";"0.36";"2";"MOL";"0";"19";"3";"2";"0";"259.1572";"-0.47";"BASE";"C16H22ClNO2";"CC(C)NCC(O)COc1cccc2ccccc12.Cl";"ZMRUPTIKESYGQW-UHFFFAOYSA-N"
"CHEMBL1200870";"TIMOLOL MALEATE";"AQUANIL|Blocadren|Istalol|NSC-757351|OPHTAMOLOL|TIMOLOL (AS MALEATE)|TIMOLOL HYDROGEN MALEATE SALT|TIMOLOL MALEATE|TIMOLOL MALEATE, S-ENANTIOMER|TIMOLOLI MALEAS|TIMOPTIC IN OCUDOSE|TIMOPTIC-XE|Timoptic|Timoptic XE|WP-934";"Small molecule";"4.0";"432.50";"21";"26";"0.50";"79.74";"8";"2";"0";"6";"N";"0.79";"None";"9.76";"1.34";"-0.97";"1";"MOL";"0";"21";"7";"2";"0";"316.1569";"-1.47";"BASE";"C17H28N4O7S";"CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1.O=C(O)/C=C\C(=O)O";"WLRMANUAADYWEA-NWASOUNVSA-N"
