"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1200779";"TROVAFLOXACIN MESYLATE";"CP-99,219-27|CP-99219-27|TROVAFLOXACIN MESILATE|TROVAFLOXACIN MESYLATE|TROVAFLOXACIN METHANESULFONATE|Trovafloxacin sulfate|Trovan";"Small molecule";"4.0";"512.47";"4";"18";"1.89";"101.45";"6";"2";"0";"3";"N";"0.68";"5.22";"9.44";"0.14";"0.14";"3";"MOL";"0";"30";"7";"3";"0";"416.1096";"-0.78";"ZWITTERION";"C21H19F3N4O6S";"CS(=O)(=O)O.N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12";"DYNZICQDCVYXFW-AHZSKCOESA-N"
"CHEMBL583";"GREPAFLOXACIN";"GREPAFLOXACIN|Grepafloxacin|Raxar";"Small molecule";"4.0";"359.40";"139";"383";"2.28";"74.57";"5";"2";"0";"3";"N";"0.88";"5.68";"8.77";"0.08";"0.08";"2";"MOL";"0";"26";"6";"2";"0";"359.1645";"-0.45";"ZWITTERION";"C19H22FN3O3";"Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1";"AIJTTZAVMXIJGM-UHFFFAOYSA-N"
"CHEMBL4";"OFLOXACIN";"DL-8280|EXOCIN|FLOXIN OTIC|Floxin|HOE 280|HOE-280|J01MA01|NSC-727071|NSC-758178|OFLOXACIN|Ocuflox|TARIVID|TARIVID 400|TARIVID I.V.|Visiren";"Small molecule";"4.0";"361.37";"280";"2579";"1.54";"75.01";"6";"1";"0";"2";"N";"0.87";"5.29";"6.16";"0.51";"-0.47";"2";"MOL";"0";"26";"7";"1";"0";"361.1438";"-0.21";"ACID";"C18H20FN3O4";"CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23";"GSDSWSVVBLHKDQ-UHFFFAOYSA-N"
"CHEMBL9";"NORFLOXACIN";"Baccidal|CHIBROXIN|MK-366|NORFLOXACIN|NSC-757250|Noroxin|Quinabic|UTINOR";"Small molecule";"4.0";"319.34";"331";"4640";"1.27";"74.57";"5";"2";"0";"3";"N";"0.89";"5.58";"8.68";"-0.96";"-0.96";"2";"MOL";"0";"23";"6";"2";"0";"319.1332";"-0.97";"ZWITTERION";"C16H18FN3O3";"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21";"OGJPXUAPXNRGGI-UHFFFAOYSA-N"
"CHEMBL1200621";"GEMIFLOXACIN MESYLATE";"Factive|GEMIFLOXACIN MESILATE|GEMIFLOXACIN MESYLATE|GEMIFLOXACIN METHANESULFONATE|LB 20304A|LB-20304A|SB-265805-S";"Small molecule";"4.0";"485.49";"26";"69";"0.97";"123.04";"8";"2";"0";"5";"N";"0.73";"5.35";"9.23";"-0.91";"-0.91";"2";"MOL";"0";"28";"9";"3";"0";"389.1499";"-0.47";"ZWITTERION";"C19H24FN5O7S";"CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN.CS(=O)(=O)O";"JIYMVSQRGZEYAX-CWUUNJJBSA-N"
"CHEMBL1200393";"GREPAFLOXACIN HYDROCHLORIDE";"GREPAFLOXACIN HCL|GREPAFLOXACIN HYDROCHLORIDE|OPC-17116|Raxar";"Small molecule";"4.0";"395.86";"1";"4";"2.28";"74.57";"5";"2";"0";"3";"N";"0.88";"5.68";"8.77";"0.08";"0.08";"2";"MOL";"0";"26";"6";"2";"0";"359.1645";"-0.45";"ZWITTERION";"C19H23ClFN3O3";"Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1.Cl";"IEPMBYOIQGCVHO-UHFFFAOYSA-N"
"CHEMBL1201761";"BESIFLOXACIN HYDROCHLORIDE";"BESIFLOXACIN (AS HYDROCHLORIDE)|BESIFLOXACIN HCL|BESIFLOXACIN HYDROCHLORIDE|BESIVANCE|BOL-303224-A|SS-734|SS734";"Small molecule";"4.0";"430.31";"2";"5";"3.14";"88.56";"5";"2";"0";"3";"N";"0.84";"5.45";"9.67";"0.54";"0.54";"2";"MOL";"0";"27";"6";"3";"0";"393.1255";"-0.57";"ZWITTERION";"C19H22Cl2FN3O3";"Cl.N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1";"PMQBICKXAAKXAY-HNCPQSOCSA-N"
"CHEMBL850";"SPARFLOXACIN";"AT-4140|CI-978|NSC-759641|SPARFLOXACIN|Spara|Zagam";"Small molecule";"4.0";"392.41";"192";"1395";"2.08";"100.59";"6";"3";"0";"3";"N";"0.69";"5.56";"8.79";"-0.07";"-0.07";"2";"MOL";"0";"28";"7";"4";"0";"392.1660";"-0.11";"ZWITTERION";"C19H22F2N4O3";"C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1";"DZZWHBIBMUVIIW-DTORHVGOSA-N"
"CHEMBL826";"ENOXACIN";"AT-2266|CI-919|COMPRECIN|ENOXACIN|Flumark|NSC-629661|NSC-758416|PD 107779|PD-107779|Penetrex";"Small molecule";"4.0";"320.32";"236";"1193";"0.66";"87.46";"6";"2";"0";"3";"N";"0.86";"5.31";"8.59";"-1.01";"-1.02";"2";"MOL";"0";"23";"7";"2";"0";"320.1285";"-1.01";"ZWITTERION";"C15H17FN4O3";"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21";"IDYZIJYBMGIQMJ-UHFFFAOYSA-N"
"CHEMBL33";"LEVOFLOXACIN";"CRAVIT|DR-3355|EVOXIL|Floxacin|IQUIX|L-OFLOXACIN|LEVOFLOXACIN|LEVOFLOXACIN (AS HEMIHYDRATE)|LEVOFLOXACIN ANHYDROUS|LEVOFLOXACIN HEMIHYDRATE|LEVOFLOXACIN HYDRATE|Levaquin|NOFAXIN|NSC-758709|OFLOXACIN S-(-)-FORM|OFLOXACIN S-(-)-FORM HEMIHYDRATE|OFLOXACIN, (S)-|OFTAQUIX|QUINSAIR|Quixin|RWJ-25213|TAVANIC|VOLEQUIN";"Small molecule";"4.0";"361.37";"371";"7849";"1.54";"75.01";"6";"1";"0";"2";"N";"0.87";"5.29";"6.16";"0.51";"-0.47";"2";"MOL";"0";"26";"7";"1";"0";"361.1438";"-0.21";"ACID";"C18H20FN3O4";"C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23";"GSDSWSVVBLHKDQ-JTQLQIEISA-N"
