"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL939";"GEFITINIB";"GEFITINIB|Iressa|NSC-759856|ZD-1839|ZD1839";"Small molecule";"4.0";"446.91";"1176";"4616";"4.28";"68.74";"7";"1";"0";"8";"N";"0.52";"None";"6.85";"3.75";"3.64";"3";"MOL";"0";"31";"7";"1";"0";"446.1521";"-1.75";"NEUTRAL";"C22H24ClFN4O3";"COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1";"XGALLCVXEZPNRQ-UHFFFAOYSA-N"
"CHEMBL1908391";"MASITINIB";"AB-1010|AB1010|Kinavet|MASICAN|MASITINIB|MASITINIB MESILATE|MASITINIB MESYLATE|MASITINIB METHANESULFONATE|MASIVIERA|Masitinib|Masivet";"Small molecule";"4.0";"498.66";"484";"765";"5.26";"73.39";"7";"2";"1";"7";"N";"0.36";"12.70";"7.84";"4.97";"4.39";"4";"MOL";"0";"36";"7";"2";"1";"498.2202";"-2.11";"NEUTRAL";"C28H30N6OS";"Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1";"WJEOLQLKVOPQFV-UHFFFAOYSA-N"
"CHEMBL2105719";"DACOMITINIB";"DACOMITINIB|DACOMITINIB HYDRATE|DACOMITINIB MONOHYDRATE|Dacomitinib|PF-00299804|PF-00299804-03|VIZIMPRO";"Small molecule";"4.0";"487.96";"4";"4";"5.16";"79.38";"6";"2";"1";"7";"N";"0.47";"12.50";"8.55";"4.71";"3.53";"3";"MOL";"0";"33";"7";"2";"1";"469.1681";"-1.61";"BASE";"C24H27ClFN5O3";"COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1.O";"BSPLGGCPNTZPIH-IPZCTEOASA-N"
"CHEMBL4594293";"ACALABRUTINIB MALEATE";"ACALABRUTINIB MALEATE|ACALABRUTINIB MALEATE ANHYDROUS|CALQUENCE MALEATE|Calquence";"Small molecule";"4.0";"581.59";"";"";"3.31";"118.51";"7";"2";"0";"4";"N";"0.45";"None";"4.63";"2.56";"2.56";"4";"MOL";"0";"35";"9";"3";"0";"465.1913";"-0.95";"NEUTRAL";"C30H27N7O6";"CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12.O=C(O)/C=C\C(=O)O";"JWEQLWMZHJSMEC-AFJTUFCWSA-N"
"CHEMBL941";"IMATINIB";"GLAMOX|Gleevec|IMATINIB|Imatinib|NSC-743414|NSC-759854|STI-571";"Small molecule";"4.0";"493.62";"1341";"4440";"4.59";"86.28";"7";"2";"0";"7";"N";"0.39";"12.69";"7.84";"4.38";"3.80";"4";"MOL";"0";"37";"8";"2";"0";"493.2590";"-1.80";"NEUTRAL";"C29H31N7O";"Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1";"KTUFNOKKBVMGRW-UHFFFAOYSA-N"
"CHEMBL2035187";"PACRITINIB";"ONX-0803|PACRITINIB|Pacritinib|SB-1518|SB1518";"Small molecule";"4.0";"472.59";"302";"397";"4.47";"67.68";"7";"1";"0";"4";"N";"0.67";"None";"8.68";"3.26";"1.96";"2";"MOL";"0";"35";"7";"1";"0";"472.2474";"0.11";"BASE";"C28H32N4O3";"C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2";"HWXVIOGONBBTBY-ONEGZZNKSA-N"
"CHEMBL1873475";"IBRUTINIB";"CRA-032765|IBRUTINIB|IMBRUVICA|PC-32765|PCI 32765|PCI-32765|PCI-32765-00";"Small molecule";"4.0";"440.51";"404";"1226";"4.22";"99.16";"7";"1";"0";"5";"N";"0.47";"None";"4.06";"3.63";"3.63";"4";"MOL";"0";"33";"8";"2";"0";"440.1961";"-0.80";"NEUTRAL";"C25H24N6O2";"C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1";"XYFPWWZEPKGCCK-GOSISDBHSA-N"
"CHEMBL4559134";"SELPERCATINIB";"LOXO-292|LY-3527723|LY3527723|RET INHIBITOR LOXO-292|RETEVMO|SELPERCATINIB";"Small molecule";"4.0";"525.61";"5";"10";"3.28";"112.04";"10";"1";"1";"8";"N";"0.37";"None";"6.28";"3.14";"3.11";"4";"MOL";"0";"39";"10";"1";"1";"525.2488";"-1.27";"NEUTRAL";"C29H31N7O3";"COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1";"XIIOFHFUYBLOLW-UHFFFAOYSA-N"
"CHEMBL3989939";"LAROTRECTINIB SULFATE";"ARRY-470 SULFATE|LAROTRECTINIB SULFATE|LOXO-101 sulfate|VITRAKVI";"Small molecule";"4.0";"526.52";"8";"20";"2.95";"86.00";"6";"2";"0";"3";"N";"0.67";"10.94";"0.70";"2.44";"2.44";"3";"MOL";"0";"31";"8";"2";"0";"428.1772";"-1.76";"NEUTRAL";"C21H24F2N6O6S";"O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1.O=S(=O)(O)O";"PXHANKVTFWSDSG-QLOBERJESA-N"
"CHEMBL2146883";"COBIMETINIB";"COBIMETINIB|Cobimetinib|Cotellic|GDC 0623|GDC 0973|GDC-0623|GDC-0973|RG 7420|RG-7420|RG-7421|RG7420|XL 518|XL-518|XL518";"Small molecule";"4.0";"531.32";"312";"431";"3.78";"64.60";"4";"3";"1";"4";"N";"0.53";"13.37";"9.76";"5.04";"2.73";"2";"MOL";"0";"30";"5";"3";"1";"531.0631";"-0.86";"BASE";"C21H21F3IN3O2";"O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1";"BSMCAPRUBJMWDF-KRWDZBQOSA-N"
